ID;Deal ID;Spatial accuracy level;Location;Point;Facility name;Location description;Comment on location
faqxp9Pf;5868;Administrative region;Toungup, Myanmar (Burma);19.055,94.22468;;;Between Taungup Township and Ma Ei Sub-Township in Rhakine State
_DUCvnM4;5869;Approximate location;Mongmao, Myanmar (Burma);22.97006,98.97146;;;Gongba Area, Mongmao County, Shan State
tBunR-z_;5870;Administrative region;Buimer, Sums'ka oblast, Ukraine, 42632;50.53243,34.76787;;;
NWLUBv2w;5870;Administrative region;Lebedyn, Sums'ka oblast, Ukraine;50.58376,34.49046;;;
fJod0kdc;5872;Exact location;Launglon, Myanmar (Burma);13.92647,98.1331;;;Close to Tizit beach, Hnyin Maw (Nyinmaw) village, Launglon, Thanintaryi Region. South of Dawei
GLrHrp8-;5873;Exact location;Tarqui, Guayaquil, Ecuador;-2.10273,-79.8947;;;
B4ta5Ha1;5874;Administrative region;Myitta, Myanmar (Burma);14.16212,98.5213;;;Htee Khee Myittar Township, Taninthayi
7rQ960DF;5875;Administrative region;Dawei, Myanmar (Burma);14.08277,98.19396;;;2,7 kilometer away from Moh Roh village Ler Muh Lah Township Dawei district, Tanintharyi Region
0HKwzrFd;5876;Exact location;Bui Dam, Ghana;8.27833,-2.23583;;;Black Volta River at the Bui Gorge
VMEwqjo-;5878;Administrative region;Mushumbi Pools, Zimbabwe;-16.16369,30.57767;;;Mbiri Council, near Mushumbi Pools, Mashonaland Central province
opUPfWbi;5879;Exact location;Monywa, Myanmar (Burma);22.07956,95.08771;;;Letpadaung Copper Mine. Monywa, Sagaing Region
0u0ZeeRI;5882;Administrative region;Syanno, Belarus;54.81338,29.70633;;;
Z7SdKhC2;5882;Administrative region;Chashniki, Belarus;54.84781,29.17307;;;
1MDDVypi;5882;Administrative region;Talachyn, Belarus;54.40988,29.69351;;;
RVpaGEBt;5883;Coordinates;El Rama, Nicaragua;12.25904,-84.01659;;;
-WUQZtbz;5884;Administrative region;Timkovo, Moscow Oblast, Russia;56.04685,35.89462;;;
sK8q8lYk;5884;Administrative region;Volokolamsk, Moscow Oblast, Russia;56.03633,35.95731;;;
m8qlJPaG;5885;Coordinates;Thabeikkyin Township, Mandalay;23.57846,96.15131;;;"Area in operation detected on satellite image on google maps: Google satellite image source: CNES/Airbus, DigitalGlobe, Landsat/ Copernicus, Kartendaten 2019; Date of digitalizing: 2019/01/31"
v6DiaIjT;5889;Exact location;Lake Naivasha, Kenya;-0.84387,36.23878;;;
wTLxR6p1;5890;Exact location;Rwamagana, Rwanda;-1.86699,30.40772;;;Spatial data derived from the Mapathon 2020.
t6xhh7nx;5891;Administrative region;Yefimtsevo, Kaluga Oblast, Russia, 249772;53.79081,35.56403;;;
wMebOiGT;5891;Administrative region;Mosalsk, Kaluga Oblast, Russia, 249930;54.49115,34.97989;;;
IWsHOiin;5891;Administrative region;Khvastovichi, Kaluga Oblast, Russia, 249360;53.46988,35.09638;;;
JgWq1G6P;5892;Administrative region;Serenje, Zambia;-13.23256,30.23396;;;Luombwa farm block. Luombwa Farm Block is about 70 kilometers west of Serenje, bordered by the Nansanga Farm Block and Musangashi Forest Reserve
aIpUj-NP;5893;Administrative region;Serenje, Zambia;-13.23256,30.23396;;;Chishitu section of Luombwa Farm Block
_1XgaAlN;5894;Administrative region;Serenje, Zambia;-13.23256,30.23396;;;Kalengo and Chishitu sections of Luombwa Farm Block
8vM1Kuv6;5895;Administrative region;Serenje, Zambia;-13.23256,30.23396;Billis Farm Ltd;Milumbe area of Luombwa Farm Block;Billis Farm Ltd is located in Serenje province, 400km from Zambia’s capital Lusaka,
OsbOFTvu;5896;Administrative region;Serenje, Zambia;-13.23256,30.23396;;;Ntenge section of Luombwa farm block
3pMm9KfS;5897;Administrative region;Serenje, Zambia;-13.23256,30.23396;;;Bwande section of Serenje district, in the eastern part of the Nansanga farm block.
970N0Rwg;5898;Administrative region;Yakovlevsky District, Primorsky Krai, Russia;44.39162,133.52959;;;
ly91nXO-;5898;Administrative region;Spassky District, Primorsky Krai, Russia;44.84192,132.95721;;;
NRToCnGj;5898;Administrative region;Kirovsky District, Primorsky Krai, Russia;45.04259,133.69396;;;
ssmFYpdS;5899;Exact location;Ndolela, Tanzania;-9.92496,35.20014;;;Iringa district, Ifunda ward
jMF8AosL;5900;Coordinates;Mkushi, Zambia;-13.74324,29.33691;Kakushi Farms;;Kakushi Farms is located in the Mkushi District in Zambia’s Central Province and comprises two grains farms (Kakushi North and Kakushi South). On the eastern side of the Mkushi Farming Block, on the Kakushi River. Coordinates taken from photo in ProAgri article.
U-8LQu0C;5901;Administrative region;Boane District, Mozambique;-26.11289,32.31075;;;The project is  located 70 km from the Komatipoort ,south west of Maputo in Mozambique.
2IYMrB77;5902;Exact location;Aussenkehr, Namibia;-28.38239,17.41912;;;The SVL Project is located in Aussenkehr, Namibia, on the Orange River along the Namibian-South African border, approximately 645 km to the South East of Windhoek.
o9Y2mzQX;5903;Administrative region;Dimako, Cameroon;4.3804,13.57262;;;
jvv5YVDi;5903;Administrative region;Kadei, Cameroon;4.09947,14.47233;;;Nguélébok commune in Kadéy
c4F99sO7;5904;Administrative region;Berezdivtsi, Lviv Oblast, Ukraine, 81657;49.45545,24.14812;;;One of the land leased by the Company. Cadastral number 4623080400:06:000:0068. Size -0.5839 ha. Owner - Private. The date of state registration - 26.11.2016.
DplVd3hP;5904;Administrative region;Horodyshche, Lviv Oblast, Ukraine, 81477;49.46934,23.32828;;;One of the land leased by the Company. Cadastral number 4621589100:04:000:0119. Size -1.3724 ha. Owner - Private. The date of state registration - 22.11.2014.
vb6iEkW4;5904;Administrative region;Novi Strilyshcha, Lviv Oblast, Ukraine, 81714;49.51686,24.40581;;;One of the land leased by the Company. Cadastral number 4621580300:02:000:2030. Size - 1.0428 ha. Owner - Private. The date of state registration - 09.10.2019. At the same time this land plot is leased by another company - the date of state registration of this right - 04.10.2019
mQbukk5B;5904;Administrative region;Khodoriv, Lviv Oblast, Ukraine, 81750;49.40777,24.30798;;;One of the land leased by the Company. Cadastral number 4621581500:02:000:0971. Size -0.1577 ha. Owner - Private. The date of state registration - 01.10.2019.
KMMBIIH1;5904;Approximate location;Вербица, Львовская область, Украина, 81760;49.37651,24.40253;;;One of the land leased by the Company. Cadastral number 4621581500:03:000:0691. Size - 0.5891 ha. Owner - Private. The date of state registration - 01.10.2019.
iwQ1Thz2;5904;Approximate location;Чорний Острів, Львівська область, Україна;49.46485,24.26371;;;
WXO7J24O;5904;Approximate location;Садки, Львівська область, Україна;49.40451,24.36177;;;
6MSplY94;5904;Approximate location;Грусятичі, Львівська область, Україна;49.48004,24.38919;;;
KGVx-WuE;5904;Approximate location;Соколівка, Львівська область, Україна;49.63886,23.79518;;;
PwqHRy_T;5904;Approximate location;Горішнє, Львівська область, Україна;49.47844,24.19041;;;
aiwbX_Ag;5904;Approximate location;Кнісело, Львівська область, Україна;49.50975,24.3681;;;
OZ7nwykQ;5904;Approximate location;Сенів, Львівська область, Україна;49.54978,24.30536;;;
1iL0fUkx;5904;Approximate location;Буковина, Львівська область, Україна;49.35079,24.27946;;;
iuIDM5wY;5905;Administrative region;Amboseli National Park, Loitoktok District, Rift Valley, Kenya;-2.65202,37.26077;;;16 kms north of the northern boundary of Amboseli Park
P48NVsoq;5906;Administrative region;Mara Triangle - Maasai Mara National Reserve, Kenya;-1.40655,34.90655;;;Koyaki Lemek area of the greater Mara ecosystem
6UvKD30X;5907;Administrative region;Leopard Gorge, Mara North Conservancy, Kenya;-1.22893,35.10327;;;
NSCZ0WvS;5908;Administrative region;Masai Mara National Reserve, Kenya;-1.32679,34.96462;;;
bDIRPO-s;5909;Exact location;Lolgorien, Kenya;-1.24171,34.81045;;;South Western Kenya Kilimapesa Hill. located at Lolgorian area in Transmara
YOueTs1R;5910;Administrative region;Aberdare Range, Kenya;-0.41455,36.6662;;;Kieni Forest understood to be in Aberdare Range, Kenya
V2AZ7RkI;5910;Administrative region;Mau Summit, Kenya;-0.17484,35.62048;;;
oyVjVv0x;5911;Approximate location;Скварява, Львівська область, Україна;49.86826,24.74895;;;
rMmNbiqU;5911;Approximate location;Підлипці, Львівська область, Україна;49.7657,25.04833;;;
H6AXl7-m;5911;Approximate location;Струтин, Львівська область, Україна;49.7829,24.94092;;;
pkh9SHc0;5911;Approximate location;Гончарівка, Львівська область, Україна;49.87376,24.78469;;;
rAlc-Oub;5911;Approximate location;Княже, Львівська область, Україна;49.82635,24.80145;;;
QvW3Eg9T;5911;Approximate location;Словіта, Львівська область, Україна;49.75777,24.59151;;;
-Zb1kyMx;5911;Approximate location;Червоне, Львівська область, Україна;49.80188,24.76543;;;
bjAI8t_X;5911;Approximate location;Куровичі, Львівська область, Україна;49.76768,24.42607;;;
jUxqfflx;5912;Administrative region;Vovchkivtsi, Ternopil's'ka oblast, Ukraine, 47224;49.75192,25.13167;;;
Te5qBzuC;5913;Country;Myanmar (Burma);21.91622,95.95597;;;Exact location unknown
2CiBmdLT;5914;Administrative region;Shan, Myanmar (Burma);22.0362,98.13386;;;"Northern Shan State, composed of
Shan, Kachin, Palaung, and Burmans."
p0nq02SX;5915;Administrative region;Migori County, Kenya;-1.06888,34.47061;;;
9T88c9GD;5915;Administrative region;Bungoma, Kenya;0.56953,34.55838;;;
o2GNdrQm;5915;Administrative region;Meru County, Kenya;0.05317,37.63886;;;
qLtPF9Av;5916;Administrative region;Nakuru, Kenya;-0.3031,36.08003;;;Location of processing plant
or_fg4KD;5917;Administrative region;Nandi Hills, Kenya;0.10307,35.17637;;;Nandi Hills, located 330 Km north west of Nairobi, Kenya
Uk2LoHgG;5918;Administrative region;Kachin, Myanmar (Burma);25.8509,97.43814;;;Kachin State (exact location unknown)
-SZEljV0;5919;Administrative region;Muranga County, Kenya;-0.7957,37.1322;;;
Vme50lgd;5920;Coordinates;Thika Sagana Road, Makuyu, Kenya;-0.91232,37.17995;Kakuzi Plc;Makuyu a settlement in Kenya's Muranga County And is a City with a metropolitan. It is Just at the border of Machakos County at the east, And fairly close to Kiambu County at the south.;"based at Makuyu about 65 Km North East of Nairobi
Data is derived from the Mapathon 2020."
3QaN0WIS;5922;Administrative region;Muranga County, Kenya;-0.7957,37.1322;;;
p_VqXKlE;5923;Administrative region;Kachin, Myanmar (Burma);25.8509,97.43814;;;Kachin State (exact location unknown)
VdQZp4OL;5924;Exact location;Makuyu, Kenya;-0.91263,37.17624;;;
XigjgWvf;5926;Coordinates;Thika, Kenya;-1.00019,37.09917;;;"Kiambu and Murang’a counties
Spatial data derived from the Mapathon 2020."
_V6dN4qC;5927;Administrative region;Thika, Kenya;-1.03876,37.08338;;;Kiambu County
nD2ToLSM;5928;Exact location;Olkaria Route, Nakuru, Kenya;-0.86431,36.29901;;;Olkaria, Nakuru County, Kenya
JP1bRlXJ;5929;Administrative region;Esman, Sums'ka oblast, Ukraine, 41432;51.76769,34.05837;;;
t66lMKft;5930;Approximate location;Lishchyn, Zhytomyrs'ka oblast, Ukraine, 12436;50.15225,28.84475;;;One of the lands leased by the Company. Cadastral number 1822084400:04:000:0590. Size – 2.5148 ha. Owner - Private. The date of state registration – 24.07.2019
6X-wkJ_R;5930;Approximate location;Тарасівка, Житомирська область, Україна, 12436;50.17927,28.85368;;;One of the lands leased by the Company. Cadastral number 1822084400:01:000:0087. Size – 4.7045 ha. Owner - Private. The date of state registration – 24.12.2019. Approximate value estimation - 85002.81 hrn
O6cSP_D9;5930;Approximate location;Сінгури, Житомирська область, Україна, 12444;50.16645,28.65714;;;One of the lands leased by the Company. Cadastral number 1822086500:02:000:0315. Size – 1.83 ha. Owner - Private. The date of state registration – 24.06.2020
8jY-onE6;5930;Approximate location;Миролюбівка, Житомирська область, Україна;50.08379,28.78715;;;
KmOhFATn;5930;Approximate location;Піски, Житомирська область, Україна;50.18447,28.76707;;;
uzVl02ZI;5931;Administrative region;Perekip, Kharkiv Oblast, Ukraine, 63022;49.88426,35.49968;;;
wUFOqO6e;5931;Administrative region;Cheremushne, Kharkiv Oblast, Ukraine, 63432;49.69022,36.43172;;;
i9JOEUW_;5931;Administrative region;Valky, Kharkiv Oblast, Ukraine, 63002;49.83872,35.62062;;;
dW8ow7Kt;5931;Approximate location;Перекіп, Харківська область, Україна;49.88425,35.49968;;;
9EZeK2Tk;5932;Administrative region;Muse, Myanmar (Burma);23.99329,97.91026;;;Lemon agricultural base is near the Chinese border town Ruili/Muse.
I5R6RjyC;5933;Administrative region;Shymkivtsi, Ternopil's'ka oblast, Ukraine, 47336;49.75873,25.80011;;;
7DP4cklg;5933;Administrative region;Kokhanivka, Ternopil's'ka oblast, Ukraine, 47331;49.83232,25.8301;;;
lBYC_2Fc;5933;Administrative region;Rakovets', Ternopil's'ka oblast, Ukraine, 47330;49.8278,25.71676;;;
Mzv95kVG;5933;Administrative region;Bodaky, Ternopil's'ka oblast, Ukraine, 47323;49.89103,25.79645;;;
7c6oLf_f;5933;Administrative region;Hnizdychne, Ternopil's'ka oblast, Ukraine, 47332;49.80524,25.65038;;;
m-G9GV8k;5934;Administrative region;Mong Hsat, Myanmar (Burma);20.51844,99.25084;;;Mong Hsat Township, Shan State
-yWx9adb;5935;Approximate location;Tachileik, Myanmar (Burma);20.45212,99.89891;;;Tachileik Township, Shan State
EarKLfPC;5936;Administrative region;Shan, Myanmar (Burma);21.15672,97.57348;;;Special Region 2, Shan State
hYDtE67J;5937;Approximate location;Mongla, Myanmar (Burma);21.66944,100.01639;;;
nknG70DD;5938;Administrative region;Mongla, Myanmar (Burma);21.66944,100.01639;;;
vCrMdOp2;5939;Approximate location;Troshcha, Zhytomyrs'ka oblast, Ukraine, 13260;49.90778,28.08764;;;One of the lands leased by the Company. Cadastral number 1825887800:03:000:0017 .Size - 1.3026  ha. Owner - Private. The date of state registration - 02.11.2020. Leasing fee 679931 hrn. approximate value estimation - 32537.64 hrn
so1dN01v;5939;Approximate location;Haliivka, Zhytomyrs'ka oblast, Ukraine, 13251;49.9209,28.18556;;;One of the lands leased by the Company. Cadastral number 1825881700:03:000:0021.Size - 6.52  ha. Owner - Private. The date of state registration - 16.09.2019.
1xMqNMfu;5939;Approximate location;Бурківці, Житомирська область, Україна, 13261;49.8794,28.04764;;;One of the lands leased by the Company. Cadastral number 1825881200:05:000:0369 .Size - 3.1621  ha. Owner - Private. The date of state registration - 13.11.2017.
zdXzbIz4;5939;Approximate location;Іванопіль, Житомирська область, Україна, 13254;49.86174,28.20957;;;One of the lands leased by the Company. Cadastral number 1825855600:08:000:0663.Size - 3.0077  ha. Owner - Private. The date of state registration - 06.11.2019
Lw6os6D6;5939;Approximate location;Мала Волиця, Житомирська область, Україна, 13250;49.9003,28.20038;;;One of the lands leased by the Company. Cadastral number 1825885200:06:000:0205 .Size - 2.20506  ha. Owner - Private. The date of state registration - 18.01.2021. Leasing fee 895455 hrn
XnL5jMIa;5940;Administrative region;Petrivs'ke, Kharkiv Oblast, Ukraine, 64282;49.1712,36.88978;;;
8KT9Sjf8;5940;Administrative region;Zavhorodnie, Petrivs'ke, Kharkiv Oblast, Ukraine, 64282;49.1894,36.91803;;;
LsWVoU20;5941;Administrative region;Ploske, Kharkiv Oblast, Ukraine, 62607;50.04379,37.34602;;;
YiLHuAVc;5941;Approximate location;Балка, Харківська область, Україна;50.04256,37.36914;;;
7IMACzE4;5941;Approximate location;Великий Бурлук, Харківська область, Україна;50.06,37.38229;;;
yY9PwTzc;5942;Administrative region;Barvinkove, Kharkiv Oblast, Ukraine, 64700;48.90147,37.01814;;;One of the land leased by the Company. Cadastral number 6320480500:05:000:0499. Size -9.3872 ha. Owner - Private. The date of state registration - 24.01.2020. Monetary valuation of the Land - 258 768.68 hryven (dated by 08.02.2019) - |source -Public Cadastral Map|
cQuDIPk8;5942;Approximate location;Богодарове, Харківська область, Україна;48.85118,36.95778;;;
veFYlznp;5942;Approximate location;Гусарівка, Харківська область, Україна;49.36026,36.81443;;;
pFTkc2Vt;5942;Approximate location;Рідне, Харківська область, Україна;48.98602,37.06899;;;
w4k0yD7S;5944;Administrative region;Barvinkove, Kharkiv Oblast, Ukraine, 64700;48.90147,37.01814;;;
VQoQukib;5944;Administrative region;Blyznyuky, Kharkiv Oblast, Ukraine;48.85682,36.54999;;;
OYmTrtX7;5944;Administrative region;Batiushky, Kharkiv Oblast, Ukraine, 64801;48.86969,36.53469;;;
C-ok_Mb8;5944;Administrative region;Sadove, Kharkiv Oblast, Ukraine, 64809;48.82795,36.58119;;;
1Wuuy-tF;5944;Approximate location;Oleksandrivka, Харківська область, Україна;48.76397,36.64471;;;
IrXoclG-;5944;Approximate location;Velyka Komyshuvakha, Харківська область, Україна;49.11067,36.99741;;;
aSVAne5u;5944;Approximate location;Nova Mykolaivka, Харківська область, Україна;49.07684,36.77385;;;
gne5m-WY;5944;Approximate location;Afrykanivka, Харківська область, Україна;48.88466,36.80509;;;
pgRzubKs;5944;Approximate location;Nova Dmytrivka, Харківська область, Україна;48.9649,37.15265;;;
Z-TK53Uw;5944;Approximate location;Ridne, Харківська область, Україна;48.98602,37.06899;;;
dojNH5Q_;5944;Approximate location;Husarivka, Харківська область, Україна;49.36026,36.81443;;;
pSUcvCJm;5944;Approximate location;Ivanivka, Харківська область, Україна;49.21062,36.69626;;;
9ULy7fDG;5944;Approximate location;Bohodarove, Харківська область, Україна;48.85118,36.95778;;;
IGfWfj8o;5944;Approximate location;Arkhanhelivka, Харківська область, Україна;48.93684,36.93499;;;
-VRaxZwm;5944;Approximate location;Hrushuvakha, Харківська область, Україна;49.11389,36.89447;;;
YHpHvqpB;5945;Administrative region;Zakutnivka, Kharkiv Oblast, Ukraine, 64150;49.22643,36.238;;;
lrWx3k5_;5946;Administrative region;Voinjama, Liberia;8.4202,-9.75393;;;
511PYQEx;5947;Administrative region;Maryland, Liberia;4.72589,-7.74167;;;
4DstypoA;5948;Administrative region;Maryland, Liberia;4.72589,-7.74167;;;
lU984L2I;5949;Administrative region;River Cess, Liberia;5.90253,-9.45615;;;
wccmwpKe;5950;Administrative region;River Cess, Liberia;5.90253,-9.45615;;;
_12Ut1_X;5951;Administrative region;Ziah Town, Liberia;5.74771,-7.8538;;;
jAn0-sBq;5952;Administrative region;Buchanan, Liberia;5.88725,-10.03037;;;
h_vUtpsR;5953;Administrative region;Harbel, Liberia;6.2466,-10.3554;;;
WO4Zaey4;5954;Administrative region;Voinjama, Liberia;8.4202,-9.75393;;;
ax99mwvc;5955;Administrative region;Tibú, North Santander, Colombia;8.64236,-72.73773;;;
lNaKzLUi;5956;Exact location;ye andin, village, Myanmar (Burma);16.88414,97.61602;Ye Coal-fired Power Plant;;Andin Village in Mon State’s Ye Township
NTdBATt0;5958;Coordinates;Urcuqui, Ecuador;0.43889,-78.19583;;;
lSdkUWir;5959;Administrative region;Tanintharyi Region, Myanmar (Burma);10.44654,98.62837;;;"""At southeastern tip of Burma near its border with Thailand at Ranong """
HURWLP6V;5960;Administrative region;Karonga, Malawi;-9.95254,33.92482;;;Mwaulambo malawi
t6X7eA_h;5962;Administrative region;Ledaunggan, Myanmar (Burma);16.96002,96.29337;;;"Ledaunggan (or Lay Daung Kan), Yangon.
It's not clear, whether only the refinery plant is planned to be located at Ledaunggan or the plantation area as well."
t_3QjS1D;5965;Administrative region;Podorozhnje, Kirovohrads'ka oblast, Ukraine, 27522;49.04931,33.06314;;;
5Sy15sWZ;5965;Approximate location;Глинськ, Кіровоградська область, Україна;48.95488,32.89959;;;
Xt5g_Eyh;5966;Administrative region;Kulykivka, Chernihivs'ka oblast, Ukraine, 16300;51.37308,31.64519;;;
J-3fvfpo;5967;Administrative region;Mongla, Myanmar (Burma);21.66944,100.01639;;;Mongla, USWA Special Region 2, Shan State
JAc9C3Lu;5968;Exact location;Bilin, Myanmar (Burma);17.17244,97.30216;;;Shwe Yaung Pya Mountain near Awingyi Village in Belin (Bilin) Township
XjO-2tW-;5969;Administrative region;Zasullya, Sums'ka oblast, Ukraine, 42107;50.84673,33.89045;;;
YFgjDURB;5969;Approximate location;Дремове, Сумська область, Україна;50.86134,33.92642;;;
HBQ3VAMa;5970;Administrative region;Chervona Sloboda, Sums'ka oblast, Ukraine, 41709;51.22359,33.86476;;;
vdil-68I;5971;Administrative region;Hlukhiv, Sums'ka oblast, Ukraine;51.67088,33.90789;;;
H-M5TlsB;5971;Administrative region;Shostka, Sums'ka oblast, Ukraine, 41100;51.8757,33.49662;;;
qm8AG7DF;5971;Administrative region;Chapliivka, Sums'ka oblast, Ukraine, 41143;51.71508,33.2092;;;
tk42pdo9;5972;Administrative region;Tibú, North Santander, Colombia;8.64236,-72.73773;;;
QG5pR_tc;5973;Administrative region;Sabana de Torres, Santander Department, Colombia;7.39479,-73.50005;;;
xQ9JC9Ih;5974;Administrative region;Sabana de Torres, Santander Department, Colombia;7.39479,-73.50005;;;
Sv4juDsr;5975;Administrative region;Reserva Privada Mashpi, Mashpi 150150, Ecuador;0.1659,-78.87761;;;
NYJKF-Es;5976;Administrative region;Lashio, Myanmar (Burma);22.96646,97.75254;;;"Northern Shan State
(Lashio, Tang yang, Tar Moe Nye, Theinni, Muse, Mai Yeh, and Kutkai)"
2W3EH-4M;5977;Administrative region;Yurchenkove, Kharkiv Oblast, Ukraine, 62543;50.18734,37.08967;;;
Udz_0lkU;5977;Coordinates;Пільна, Харківська область, Україна, 62541;50.15702,36.98479;;;Cadastral number - 6321686000:02:001:0041, size - 13.1266 ha
PRrnGPkn;5978;Administrative region;Delta, Nigeria;5.53246,5.89871;;;
t1-ferFv;5980;Administrative region;Benue, Nigeria;7.35083,8.83628;;;
lHM2MOAb;5982;Administrative region;Volta Region, Ghana;6.57814,0.45024;;;
I03frwV4;5990;Administrative region;Sennar, Sudan;13.56747,33.5672;;;
uKjD7684;5990;Administrative region;Northern, Sudan;18.4449,30.15893;;;
aN-oz4lM;5991;Administrative region;Al Dabbah, Sudan;18.05247,30.94981;;;6000ha in Al Dabbah
M8C366MI;5992;Administrative region;Palma Real, Ecuador;0.37998,-79.34142;;;
4POfrSIv;5993;Coordinates;Marondera, Zimbabwe;-18.17417,31.46694;;;Marondera, Mashonaland East.
6ngeuKzM;5995;Approximate location;Mandalay, Myanmar (Burma);21.95883,96.0891;;;
WInTzqnc;5996;Administrative region;Sabana de Torres, Santander Department, Colombia;7.39479,-73.50005;;;
VpneXVFe;5997;Administrative region;Puerto Wilches, Santander Department, Colombia;7.33875,-73.90545;;;
m-yXEneP;5998;Administrative region;Provincia de Alajuela, San Carlos, Costa Rica;10.65903,-84.3542;;;
9UwNiJyi;5999;Administrative region;Den'hy, Cherkas'ka oblast, Ukraine, 19770;49.60668,32.1615;;;
nWyE_0r3;5999;Administrative region;Blahodatne, Cherkas'ka oblast, Ukraine, 19774;49.5569,32.0932;;;
fTkMTA77;5999;Administrative region;Krut'ky, Cherkas'ka oblast, Ukraine, 19932;49.56201,32.21389;;;
KmtbUA1m;5999;Administrative region;Mel'nyky, Cherkas'ka oblast, Ukraine, 20933;49.16202,32.31676;;;
-3FA_cSA;5999;Administrative region;Velyki Kanivtsi, Cherkas'ka oblast, Ukraine, 19930;49.59261,32.35263;;;
VAJbqBJv;5999;Administrative region;Mali Kanivtsi, Cherkas'ka oblast, Ukraine, 19931;49.63661,32.33924;;;
M4yHRHb0;5999;Administrative region;Kropyvna, Cherkas'ka oblast, Ukraine, 19763;49.64182,32.17644;;;
logR1f39;5999;Administrative region;Chornobai, Cherkas'ka oblast, Ukraine, 19900;49.66046,32.34488;;;
v-mHdNU9;5999;Approximate location;Мельники, Черкаська область, Україна;49.54687,32.24426;;;
3VLSMUTJ;6000;Country;Cameroon;7.36972,12.35472;;;
Gb5iGqQ5;6001;Administrative region;Lunsar, Sierra Leone;8.68813,-12.53554;;;Company plantations and outgrowers
QIUf2ilq;6001;Administrative region;Masiaka, Sierra Leone;8.48972,-12.75661;;;Outgrowers
zoHDAxeZ;6002;Administrative region;Onopriivka, Cherkas'ka oblast, Ukraine, 20412;49.01625,30.67312;;;
dcGD1a8L;6002;Administrative region;Antonivka, Cherkas'ka oblast, Ukraine, 20653;48.82526,31.3473;;;
Ks7uIZRR;6002;Administrative region;Laschova, Lashchova, Cherkas'ka oblast, Ukraine, 20415;48.94648,30.62654;;;
Y8bvg0aB;6003;Administrative region;Kharsiky, Poltavs'ka oblast, Ukraine;50.26667,32.90508;;;
OXEip_I0;6004;Administrative region;Kukshyn, Chernihivs'ka oblast, Ukraine, 16631;51.16885,31.6518;;;
mOiOxkjr;6005;Administrative region;Bayanjargalan soum, Tuv;47.302,107.889;;;That place is located Bayanjargalan soum in Tuv province
WykJ8yYe;6006;Administrative region;Sazonivka, Poltavs'ka oblast, Ukraine, 37723;49.86053,32.43939;;;
KB-S3xm9;6007;Administrative region;Nova Obodivka, Vinnyts'ka oblast, Ukraine, 24357;48.41187,29.2432;;;
I4-8mcst;6008;Country;Nigeria;9.082,8.67528;;;North Central and Southwest Regions of Nigeria. Gins located in Wawa in Niger State and Guyuk in Adamawa State.
DcflmHTU;6010;Administrative region;Tushig soum, Selenge;50.309,104.953;;;That place is located Tushig soum in Selenge province
zYs61Ki-;6011;Administrative region;Alajuela Province, Alajuela, Costa Rica;10.01594,-84.21417;;;
Z3lP2hGr;6012;Administrative region;Bumbugur soum, Bayankhongor;46.182,99.895;;;That place is located Bumbugur soum in Bayankhongor province
HG3bEv5i;6013;Exact location;Eindayaza, Myanmar (Burma);14.63595,98.06802;;;"Kanpauk, Yebyu Township, Tanintharyi Region

Spatial data derived from the Mapathon 2020."
r7MS_DGZ;6014;Coordinates;Hlegu, Myanmar (Burma);17.14117,96.16864;Korea-Myanmar Industrial Complex;;"Exact Address: Nyaung Hnitpin Livestock and Agricultural Zone No.3, Hlegu Township, Yangon Region; shapefile processed from Draft ESIA info on project location"
FbCzwxsN;6015;Exact location;Kachin, Myanmar (Burma);26.21867,96.76002;;;Danai Hukawng Valley, Kachin State
LY7F3qFo;6016;Exact location;Chipwi, Myanmar (Burma);25.94655,98.14994;Chipwe HPP;;"Chipwi HPP is the fifth cascade HPP planned on the main stream of the Maykha River. Its dam site is about 150 km from Myitkyina City and about 10 km from Chipwi Village. 
The dam site is on  the N’mai River at Mandung village, ten miles from the town of Chibwe, Kachin State."
Iwzz8nGc;6017;Exact location;Chinshwehaw, Myanmar (Burma);23.47583,98.82387;;;Rubber Distillery Plant constructed by Sein Wut Hmone Company, producing 3 tons per day
PenePuXL;6017;Administrative region;Lashio, Myanmar (Burma);22.96646,97.75254;;;Rubber plantation - 300 acres
iqUa8Let;6017;Administrative region;Hopang, Myanmar (Burma);23.42674,98.75225;;;rubber plantation - 400 acres
4fFW1bWW;6018;Administrative region;Hukawng Valley, Myanmar (Burma);26.5,96.58333;;;Hukawng Valley, Kachin State
bWfJbg7o;6019;Administrative region;Shpola, Cherkas'ka oblast, Ukraine;48.99694,31.40224;;;
vT_XLeHG;6019;Administrative region;Syhnaivka, Cherkas'ka oblast, Ukraine, 20615;49.05898,31.48369;;;
GWa4qc_p;6019;Approximate location;Мар'янівка, Черкаська область, Україна;49.02001,31.46454;;;
ZSJ5m1MK;6020;Administrative region;Brăila, Romania;45.26525,27.95947;;;
UKbVAjEp;6021;Administrative region;Kisumu, Kenya;-0.0917,34.76796;;;Siany Okana Farm in Kisumu County  Kenya
3qlP8wWl;6022;Coordinates;;10.40873,98.61983;;;Kawthoung District, Tanintharyi (It is not clear if the whole plantation area is lcoated in this position or whether it is split in different plantations inside Kawthoung District) The pinpoint shows the location of the Yuzana oil palm factory (Also shown on Google Maps)
m80GKB7L;6023;Coordinates;Thayetchaung, Dawei, Myanmar (Burma);13.4531,98.48138;;;Dawei District, Tanintharyi Region
